Id,First Name,Last Name,Address,Gender,Email,Phone Number
1,Rasmi,Jati,Bhaktapur,Female,rasmijati@gmail.com,9841526311
2,Rabi,Suwal,Bhaktapur,Male,rabisuwal@gmail.com,9841526312
3,Ashu,Subedi,Kathmandu,Male,ashusubedi@gmail.com,9841526313
4,Cristin,shukla,Lalitpur,Male,cristinshukla@gmail.com,9841526314
5,Siyan,Shakya,Dang,Male,siyanshakya@gmail.com,9841526315
6,Rihan,KC,Kathmandu,Male,rihankc@gmail.com,9841526316
7,Ram,Bista,Lalitpur,Male,rambista@gmail.com,9841526317
8,Sita,Shrestha,Hetauda,Female,sitashrestha@gmail.com,9841526318
9,Hari,Gurung,Chitwan,Male,harigurung@gmail.com,9841526319
10,Gita,Lama,Palpa,Female,gitalama@gmail.com,9841526320
11,Rita,Rai,Nuwakot,Female,ritarai@gmail.com,9841526321
12,Mina,Manandhar,Pokhara,Female,minamanandhar@gmail.com,9841526322
13,Mith,Rana,Gorkha,Male,mithrana@gmail.com,9841526323
14,Reet,Subedi,Kavre,Female,reetsubedi@gmail.com,9841526324
15,Dev,Basnet,Sinduli,Male,devbasnet@gmail.com,9841526325
16,Riya,Dahal,Hetauda,Female,riyadahal@gmail.com,9841526326
17,Diya,Rai,Pokhara,Female,diyarai@gmail.com,98415263257
18,Priya,Limbu,Kavre,Female,priyalimbu@gmail.com,9841526328
19,Isha,Giri,Sinduli,Female,ishagiri,9847526329
